"caption","commentsCount","likesCount","hashtags.0","hashtags.1","hashtags.2","hashtags.3","hashtags.4","hashtags.5","hashtags.6","hashtags.7","hashtags.8","hashtags.9","hashtags.10","hashtags.11","ownerUsername","timestamp","type","kalenderwoche"
"US-Präsident Trump hat das KI-Projekt „Stargate“ bekannt gegeben: Tech-Riesen, darunter ChatGPT-Entwickler OpenAI, wollen 500 Milliarden Dollar (rund 479,6 Milliarden Euro) in den Ausbau Künstlicher Intelligenz investieren. 

Trump-Berater und Tech-Milliardär Musk kritisierte am Mittwoch, dass das Projekt, an dem er selbst nicht beteiligt ist, unzureichend finanziert sei. Die Hauptinvestoren hätten „das Geld nicht“, so Musk auf seiner Onlineplattform X. 

Trump hatte zuvor ein Dekret seines Vorgängers Biden zur Regulierung von Künstlicher Intelligenz aufgehoben. Das US-Regelwerk sah vor, dass große KI-Entwickler wie OpenAI und Google ihre Sicherheitsbewertungen und weitere zentrale Informationen an Bundesbehörden weitergeben. 

Es beruhte jedoch weitgehend auf der freiwilligen Mitarbeit von Unternehmen. Große Technologiekonzerne unterstützten die Regelung, kleinere KI-Firmen – von denen viele Trump unterstützten – waren dagegen. 

#USA #KI #Trump #ElonMusk #Nachrichten #tagesschau",789,71492,"USA","KI","Trump","ElonMusk","Nachrichten","tagesschau","","","","","","","tagesschau",2025-01-22 21:30:15,"Sidecar",4
"John Bolton ist Diplomat und hat einst Donald Trump in Sicherheitsfragen beraten. Im Gespräch mit Sandra Maischberger betont er sein Vertrauen in die amerikanische Demokratie. #Bolton #Trump #usa #nachrichten #tagesschau",331,23156,"Bolton","Trump","usa","nachrichten","tagesschau","","","","","","","","tagesschau",2025-01-23 12:09:42,"Video",4
"Erneut ist ein massives Feuer in der Nähe der Metropole ausgebrochen, Menschen müssen ihre Häuser verlassen. Die Flammen des Hughes-Feuers breiteten sich in einem Hügelgebiet nahe des Stausees Castaic Lake aus, rund 60 Kilometer von den bisherigen Bränden bei Los Angeles entfernt. Die Flammen reichten von Bergkuppen bis in zerklüftete Schluchten. Nach Angaben der Feuerwehr breiteten sich die Brände innerhalb weniger Stunden auf eine Fläche von mehr als 38 Quadratkilometern aus. 
 
Wie bereits die Feuer im Stadtgebiet von Los Angeles und in der Vorstadt Altadena wurden auch die Brände um den Castaic Lake von trockenen und starken sogenannten Santa-Ana-Winden befeuert. 
 
Mehr als 50.000 Bewohner:innen von abgelegenen Gemeinden in einer Gebirgsregion nördlich von Los Angeles wurden aufgefordert, die Gegend zu verlassen. Mehr als 31.000 Menschen haben ihre Häuser bereits verlassen, für weitere 23.000 gilt eine Evakuierungswarnung, wie der Sheriff von LA County, Robert Luna, mitteilte. 
 
#losangeles #feuer #nachrichten #tagesschau",342,80092,"losangeles","feuer","nachrichten","tagesschau","","","","","","","","","tagesschau",2025-01-23 07:21:06,"Sidecar",4
"Der Fall ist komplex, schwer zu durchschauen und spielt sich auf der Berliner Landesebene ab: Fünf Wochen vor der Bundestagswahl sieht es so aus, als sei der Grünen-Bundestagsabgeordnete Stefan Gelbhaar wohlmöglich Opfer einer parteiinternen Intrige geworden. 

Im Dezember kamen Belästigungsvorwürfe gegen den Grünen Bundestagsabgeordneten Stefan Gelbhaar auf. Verschiedene Medien berichteten darüber. Der rbb bezog sich bei seiner Berichterstattung auf Vorwürfe von Frauen, die diese dem Sender zum Teil eidesstattlich versichert haben. Der Politiker wies alle Anschuldigungen stets zurück. Gleichzeitig verzichtete er nach dem Bekanntwerden der Vorwürfe auf eine Kandidatur für den Bundestag über die Landesliste. 

Recherchen legen nahe, dass die Vorwürfe von einer Grünen-Bezirkspolitikerin unter falscher Identität erhoben wurden. Die Grünen-Bundeschefs Felix Banaszak und Franziska Brantner nannten den Verdacht, dass ein Parteimitglied falsche Anschuldigungen gegen Gelbhaar erhoben haben könnte, „gravierend.“ Sie drohten mit einem Parteiausschlussverfahren. 

Am Samstag verließ dann die Grünen-Bezirkspolitikerin Shirin Kreße die Partei. „Grund dafür ist, dass während ich mich mit den Vorwürfen, die gegen mich erhoben wurden, auseinandersetze, ich möglichen Schaden von der Partei, aber auch Betroffenen sexualisierter Gewalt abwenden möchte“, erklärte sie. 

Dem rbb zufolge sind bislang nicht alle Vorwürfe gegen Gelbhaar ausgeräumt. „Aber mindestens ein wesentlicher Vorwurf, über den wir berichtet hatten, schon“, erklärte rbb-Redakteur Thorsten Gabriel. Es habe noch „weitere Schilderungen“ gegeben. Die Vorwürfe hätten aber eine deutlich geringere Fallhöhe. 

 #grüne #gelbhaar #nachrichten #tagesschau",843,64508,"grüne","gelbhaar","nachrichten","tagesschau","","","","","","","","","tagesschau",2025-01-22 20:01:34,"Sidecar",4
"Unterdrückt Instagram bestimmte politische Suchtreffer? #instagram #tagesschau #nachrichten",616,40089,"instagram","tagesschau","nachrichten","","","","","","","","","","tagesschau",2025-01-22 18:59:31,"Video",4
"Saft steht drauf, aber weniger Saft ist drin – der „Trinkgenuss Orange“ von Granini ist die Mogelpackung des Jahres. Neben dem Getränk landeten vier weitere Produkte im Negativ-Ranking der Verbraucherzentrale Hamburg. 

„Die Verbraucherinnen und Verbraucher haben Eckes-Granini zu Recht einen Denkzettel verpasst. Der Anbieter hat seinen hundertprozentigen Orangensaft gestreckt und auch noch versucht, dies zu vertuschen“, äußerte sich Armin Valet von der Verbraucherzentrale Hamburg zum Platz eins unter den Mogelpackungen. 

Der Preis für Orangensaftkonzentrat ist in den vergangenen Monaten stark gestiegen. Es sei nachvollziehbar, dass Unternehmen versuchten, die dadurch gestiegenen Kosten an Verbraucher:innen weiterzugeben, so Valet. Doch schrumpfende Füllmengen und der Verzicht auf wertvolle Zutaten seien der falsche Weg. 

Auf Platz zwei landete in der Umfrage ein Tomaten-Gewürzsalz der Marke Lebensbaum. Der Inhalt pro Packung wurde von 150 auf 80 Gramm gesenkt, der Preis um einen Euro erhöht. Das sei eine Preiserhöhung von 150 Prozent, kritisierte die Verbraucherzentrale. Zusätzlich täusche die große Verpackung mehr Inhalt vor. 

Im Negativ-Ranking folgt das Eis „Cremissimo Bourbon Vanille"" von Unilever. Auch hier: eine kleinere Packung von nur noch 900 statt 1300 Millilitern Inhalt bei gleichbleibendem Preis. Laut der Verbraucherzentrale eine versteckte Preissteigerung um 44 Prozent. 

Insgesamt waren laut Verbraucherschutzzentrale im vergangenen Jahr 67 Produkte von versteckten Preiserhöhungen betroffen – und damit weniger als im Vorjahr. 2023 waren es 104 Produkte gewesen. Die durchschnittliche Preiserhöhung allerdings sei deutlich höher ausgefallen: 2023 betrug sie 23,5 Prozent, im vergangenen Jahr 31,5 Prozent. 

#mogelpackung #verbraucherzentrale #tagesschau #nachrichten #news",769,151458,"mogelpackung","verbraucherzentrale","tagesschau","nachrichten","news","","","","","","","","tagesschau",2025-01-22 21:01:15,"Sidecar",4
"Wer den höchsten Berg der Erde besteigen will, muss eine Genehmigung beantragen. Nepal will die Preise für ausländische Bergsteiger:innen dafür nun deutlich erhöhen. Die Gebühr falle demnach für die Südroute an, die als Standardroute gilt. Für andere Routen könnten sie niedriger liegen. 

Ab September sollen die Gebühren wirksam werden. Ihre Erhöhung ist in Nepal schon seit längerem im Gespräch. Schon vor zwei Jahren hieß es dort aus Behördenkreisen, die Anhebung der Gebühren sei bereits lange überfällig, da diese zuletzt 2015 angepasst worden seien. 

Die Gebühren sowie andere Ausgaben der ausländischen Bergsteiger:innen sind wichtige Einnahmequellen für das Land. In der Frühlingssaison 2024 gaben die Behörden 419 Genehmigungen an Ausländer:innen für die Besteigung auf der Südroute aus. In Nepal befinden sich einschließlich des Mount Everest acht der 14 Berge, die mehr als 8.000 Meter hoch sind. 

Wie die Zeitung The Himalayan Times berichtete, wurden weitere Maßnahmen beschlossen, mit denen die Umweltverschmutzung am Everest besser bekämpft und für mehr Sicherheit gesorgt werden soll. 

#mounteverest #nepal #himalaya #nachrichten #tagesschau",568,105200,"mounteverest","nepal","himalaya","nachrichten","tagesschau","","","","","","","","tagesschau",2025-01-23 14:00:36,"Sidecar",4
"Guten Morgen! ☕ Nach dem tödlichen Messerangriff im bayerischen Aschaffenburg soll der mutmaßliche Täter heute dem Haftrichter vorgeführt werden | Der US-Kongress hat ein umstrittenes Gesetz gebilligt, das die Maßnahmen gegen Migrant:innen deutlich verschärft | Nahe der US-Metropole Los Angeles ist erneut ein massives Feuer ausgebrochen
 
Weitere Infos zu unseren News am Morgen findet ihr auf tagesschau.de.
Kommt gut in den Tag!
 
#aschaffenburg #usa #losangeles #tagesschau #nachrichten",1696,50277,"aschaffenburg","usa","losangeles","tagesschau","nachrichten","","","","","","","","tagesschau",2025-01-23 06:01:21,"Sidecar",4
"Am Tag nach der Messerattacke mit zwei Toten und drei Verletzten im bayerischen Aschaffenburg ist die Polizei weiterhin mit viel Personal in der Stadt am Untermain präsent. Es gehe zum einen darum, Ansprechpartner für die Bevölkerung zu sein, sagte ein Polizeisprecher. Zum anderen solle ein reibungsloser Ablauf etwa der Kranzniederlegung durch Oberbürgermeister Jürgen Herzing (SPD) am Donnerstag (23.1.2025) ermöglicht werden. Für den Abend plant ein Bündnis verschiedene gesellschaftlicher Akteure namens „Aschaffenburg ist bunt“ ein stilles Gedenken im Park, wie das Bündnis auf Facebook mitteilte. 

Der Verdächtige wird voraussichtlich im Tagesverlauf einem Haftrichter vorgeführt. Dieser entscheidet dann, ob der 28-Jährige in einer Psychiatrie untergebracht wird oder in Untersuchungshaft kommt. „Im Moment geht die Mutmaßung sehr stark in Richtung seiner offensichtlich psychischen Erkrankungen“, hatte Bayerns Innenminister Joachim Herrmann (CSU) am Vorabend in Aschaffenburg gesagt. 

In einem Park der Stadt an der Landesgrenze zu Hessen soll der Verdächtige am Mittwochmittag einen zweijährigen Jungen und einen 41-jährigen Mann mit einem Küchenmesser getötet haben. Drei weitere Menschen erlitten Verletzungen, darunter ein zweijähriges Mädchen. 

Im Fokus der Ermittler:innen steht derweil die Suche nach dem Tatmotiv. 

Bundesweit herrscht Bestürzung über die Bluttat. Politiker:innen verschiedener Parteien fordern eine schnelle Aufklärung und Konsequenzen im konkreten Fall und auf politischer Ebene. 

#aschaffenburg #Messerattacke #nachrichten #tagesschau",4711,126700,"aschaffenburg","Messerattacke","nachrichten","tagesschau","","","","","","","","","tagesschau",2025-01-23 09:26:20,"Sidecar",4
"Die Gewerkschaften, der Bund und die kommunalen Arbeitgeber:innen beginnen in Potsdam ihre Tarifverhandlungen für den öffentlichen Dienst. Gefordert werden u. a. acht Prozent mehr Lohn – Auszubildende sollen monatlich 200 Euro mehr bekommen. Bis Mitte März sind drei Verhandlungsrunden angesetzt. Für die Beschäftigten der Länder wird separat verhandelt. 

Die Verhandlungen betreffen etwa 2,5 Millionen Beschäftigte des Bundes und der Kommunen. Der Großteil ist nach dem Tarifvertrag für den öffentlichen Dienst (TVöD) beschäftigt, auf Beamt:innen wird der Tarifabschluss üblicherweise im Nachhinein übertragen. 

Bei der zurückliegenden Tarifrunde hatten sich Bund, Kommunen und Gewerkschaften nach zähen Verhandlungen 2023 auf ein Plus von 5,5 Prozent geeinigt. Hinzu kamen steuer- und abgabenfreie Sonderzahlungen von insgesamt 3.000 Euro und ein Sockelbetrag von 200 Euro. 

Damit sollte der damals drastische Anstieg der Verbraucher- und Energiepreise abgefedert werden. Die Verhandlungen waren von zahlreichen Warnstreiks begleitet worden. Ausgeschlossen sind Warnstreiks in der neuen Tarifrunde nicht. Die Kolleg:innen seien hoch motiviert, für ihre Anliegen einzutreten, so ver.di-Chef Werneke. Es liege an den Arbeitgeber:innen, wie die Tarifrunde verlaufe. Beamtenbund-Sprecher Geyer warnt vor einem „harten Tarifkonflikt“. 

#Tarifverhandlungen #Verdi #ÖffentlicherDienst #Nachrichten #tagesschau",439,33490,"Tarifverhandlungen","Verdi","ÖffentlicherDienst","Nachrichten","tagesschau","","","","","","","","tagesschau",2025-01-24 07:39:46,"Sidecar",4
"Nach einem Rekordzuwachs im vergangenen Quartal hat die Streaming-Plattform Netflix die Marke von 300 Millionen Nutzer:innen geknackt. 

Den bisher größten Zuwachs in einem Quartal hatte es mit rund 15 Millionen zu Beginn der Corona-Pandemie 2020 gegeben. Mit dem Rekord wird Netflix nun allerdings aufhören, Angaben zur Nutzerzahl zu machen. Das war bereits im vergangenen Jahr angekündigt worden.

Die zweite Staffel von „Squid Game“ ist jetzt schon die dritterfolgreichste Netflix-Serie – hinter Staffel eins sowie der amerikanischen Comedy-Horror-Serie „Wednesday“. Zugleich gab es im vergangenen Vierteljahr zwei Live-Events, die viele Nutzer:innen interessierten: Einen Boxkampf zwischen Altstar Mike Tyson und dem Influencer Jake Paul sowie die erste Netflix-Übertragung von zwei Spielen der Football-Liga NFL. 

Co-Chef Ted Sarandos ließ zugleich durchblicken, dass Netflix eher darauf aus ist, potenzielle neue Langzeitkund:innen mit einzelnen Sport-Übertragungen anzulocken, statt sich teuer die Rechte für eine ganze Saison der großen Ligen zu kaufen. Zugleich wird Netflix die Fußball-Weltmeisterschaften der Frauen 2027 und 2031 zeigen. 

#netflix #squidgame #streaming #tagesschau #nachrichten",499,77814,"netflix","squidgame","streaming","tagesschau","nachrichten","","","","","","","","tagesschau",2025-01-22 10:40:21,"Sidecar",4
"DHL will die Anzahl seiner Abhol- und Abgabestationen bis 2030 von derzeit 15.000 auf 30.000 erhöhen. Verbraucher:innen sollen so ihre Pakete flexibler abholen können. Dennoch bleibe die Herausforderung: Bei vollen Stationen kann es zu Umleitungen kommen, was längere Wege bedeutet. 

DHL-Vorstandsmitglied Nikola Hagleitner räumt ein, dass dies auch künftig passieren kann, da beim Bestellen unklar ist, wie stark ein Automat Tage später belegt sein wird. Das Unternehmen zeigt sich jedoch zuversichtlich, dass mit wachsender Kapazität die Steuerung der Pakete für Kund:innen optimiert werden kann. 

Aber auch Konkurrenten wie GLS und DPD wollen ihre Packstationen weiter ausbauen. Der österreichische Anbieter myflexbox, dessen Stationen mehrere Paketfirmen nutzen, möchte zudem in Deutschland von aktuell 460 auf mindestens 5.000 Stationen im Jahr 2030 kommen. 

#dhl #post #packet #brief #versand #nachrichten #tagesschau",262,57369,"dhl","post","packet","brief","versand","nachrichten","tagesschau","","","","","","tagesschau",2025-01-21 22:00:07,"Sidecar",3
"Bei einem Messerangriff in einem Park im bayerischen Aschaffenburg sind zwei Menschen getötet worden. Ein Tatverdächtiger wurde in der Nähe des Tatorts festgenommen, wie die Polizei in Würzburg mitteilte. Die Beamten gingen nicht von weiteren Tätern aus. 

Die Beamten hatten zuvor von vier Schwerverletzten gesprochen. Der Tatort wurde weiträumig abgesperrt. Eine Gefahr für die Bevölkerung bestehe nicht, sagte ein Polizeisprecher. Die Hintergründe der Attacke sind bislang unklar. Weil ein Verdächtiger versucht haben soll, über Bahngleise zu fliehen, wurde der Bahnverkehr in Aschaffenburg eingestellt. 

Aschaffenburg liegt im bayerischen Regierungsbezirk Unterfranken, nahe der Landesgrenze zu Hessen. 

#aschaffenburg #messerangriff #angriff #bayern #tagesschau #nachrichten",6193,169628,"aschaffenburg","messerangriff","angriff","bayern","tagesschau","nachrichten","","","","","","","tagesschau",2025-01-22 13:15:14,"Sidecar",4
"Mitten in einem beliebten Innenstadtpark hat ein womöglich psychisch labiler 28-Jähriger nach ersten Polizeierkenntnissen mehrere Kinder mit einem Messer attackiert. Ein zweijähriger Junge marokkanischer Abstammung stirbt und auch einem 41 Jahre alten Deutschen, der die Kinder wohl schützen wollte, können die Rettungskräfte nicht mehr helfen. Ein zweijähriges Mädchen aus Syrien und ein 61-jähriger Mann werden schwer verletzt in ein Krankenhaus gebracht. Eine Erzieherin verletzt sich bei ihrer Flucht. 

Der Tatablauf ist auch Stunden nach der Messerattacke nicht gesichert. Nach Angaben von Polizei und Staatsanwaltschaft hat der Tatverdächtige sich zunächst nicht zu den Vorwürfen geäußert. Er sollte am heutigen Donnerstag einem Haftrichter vorgeführt werden. 

Nach Worten von Bayerns Innenminister Herrmann gibt es bisher keine Hinweise auf ein islamistisches Motiv. „Im Moment geht die Mutmaßung sehr stark in Richtung seiner offensichtlich psychischen Erkrankungen“, sagt der CSU-Politiker am Abend in Aschaffenburg. In der Unterkunft des Afghanen seien entsprechende Medikamente gefunden worden. 

Der Mann war laut Herrmann ausreisepflichtig. Zwar hatte er nach seiner Einreise im November 2022 einen Asylantrag gestellt. Doch sein Verfahren sei abgeschlossen worden, nachdem er selbst Anfang Dezember 2024 gegenüber den Behörden schriftlich angekündigt habe, ausreisen zu wollen. 

#aschaffenbrug #tagesschau #nachrichten",3407,100537,"aschaffenbrug","tagesschau","nachrichten","","","","","","","","","","tagesschau",2025-01-23 19:56:41,"Sidecar",4
"Mitten in einem beliebten Innenstadtpark hat ein womöglich psychisch labiler 28-Jähriger nach ersten Polizeierkenntnissen mehrere Kinder mit einem Messer attackiert. Ein zweijähriger Junge und ein 41 Jahre alter Mann, der die Kinder wohl schützen wollte, sind dabei gestorben. Ein zweijähriges Mädchen und ein 61-jähriger Mann wurden schwer verletzt in ein Krankenhaus gebracht. Eine Erzieherin verletzte sich bei ihrer Flucht. 

Der Tatablauf ist auch Stunden nach der Messerattacke nicht gesichert. Er wird wahrscheinlich am Donnerstag einem Haftrichter vorgeführt. 

Nach Worten von Bayerns Innenminister Herrmann gibt es bisher keine Hinweise auf ein islamistisches Motiv. „Im Moment geht die Mutmaßung sehr stark in Richtung seiner offensichtlich psychischen Erkrankungen“, sagt der CSU-Politiker am Abend in Aschaffenburg. In der Unterkunft des Afghanen seien entsprechende Medikamente gefunden worden. 

Der Mann war laut Herrmann ausreisepflichtig. Zwar hatte er nach seiner Einreise im November 2022 einen Asylantrag gestellt. Doch sein Verfahren sei abgeschlossen worden, nachdem er selbst Anfang Dezember 2024 gegenüber den Behörden schriftlich angekündigt habe, ausreisen zu wollen. 

#aschaffenburg #tagesschau #nachrichten",7005,129012,"aschaffenburg","tagesschau","nachrichten","","","","","","","","","","tagesschau",2025-01-22 18:04:54,"Image",4
"Die mexikanische Grenzstadt Tijuana hat den Notstand ausgerufen. Viele Menschen aus Mittel- und Südamerika sind auf dem Weg in die USA in der Grenzregion gestrandet. Nach der Amtseinführung von Donald Trump am Montag sind viele Termine für Asyl-Anträge abgesagt. 

Das ist ein gemeinsamer Beitrag vom @weltspiegel und der @tagesschau. Für noch mehr Reportagen und Themen aus aller Welt schaut gerne beim @weltspiegel vorbei. Das Wichtigste vom Tag und spannende Seitenblicke findet ihr bei der @tagesschau.   

#mexiko #nachrichten #tagesschau",623,19184,"mexiko","nachrichten","tagesschau","","","","","","","","","","tagesschau",2025-01-22 17:35:53,"Video",4
"Guten Morgen! ☕ US-Präsident Trump hat den Start eines Großprojekts zur künstlichen Intelligenz angekündigt | Kurz nach der Begnadigung aller Straftäter:innen des Kapitol-Sturms durch US-Präsident Trump sind die ersten Verurteilten auf freiem Fuß | Nach dem verheerenden Hotelbrand in einem Skigebiet in der Türkei ist die Zahl der Opfer weiter gestiegen

Weitere Infos zu unseren News am Morgen findet ihr auf tagesschau.de.

Kommt gut in den Tag!

#usa #trump #KI #kapitol #türkei #hotel #tagesschau #nachrichten",561,41005,"usa","trump","KI","kapitol","türkei","hotel","tagesschau","nachrichten","","","","","tagesschau",2025-01-22 06:31:19,"Sidecar",4
"Bundeswirtschaftsminister Robert Habeck (Bündnis 90/Die Grünen) hat in der Sendung „maischberger“ die angekündigte Klimapolitik und den politischen Stil von US-Präsident Donald Trump scharf kritisiert.  
 
#maischberger #Habeck #Trump #USA #nachrichten #tagesschau",2375,83371,"maischberger","Habeck","Trump","USA","nachrichten","tagesschau","","","","","","","tagesschau",2025-01-22 12:15:14,"Video",4
"Beim traditionellen Gottesdienst zum Amtsantritt des neuen US-Präsidenten hat die Bischöfin ihre Predigt für politische Botschaften an Donald Trump genutzt. „Ich bitte Sie um Erbarmen, Herr Präsident, mit denjenigen in unseren Gemeinden, deren Kinder Angst haben, dass ihnen ihre Eltern weggenommen werden“, sagte Mariann Edgar Budde zu Trump, der mit seiner Frau Melania an dem Gottesdienst teilnahm. 

Auch wenn die Menschen keine US-Staatsbürger:innen seien und nicht über die erforderlichen Papiere verfügten, bestehe die überwiegende Mehrheit der Migrant:innen nicht aus Kriminellen. Außerdem sagte sie, es gebe „schwule, lesbische und transsexuelle Kinder in demokratischen, republikanischen und unabhängigen Familien. Manche fürchten um ihr Leben.“ 

Trump zeigte sich nach dem Gottesdienst in der Washington National Cathedral unzufrieden. „Nicht allzu aufregend, oder? Ich fand den Gottesdienst nicht gut, nein. Sie könnten es viel besser machen“, sagte der Präsident den Reporter:innen. 

Direkt nach seinem Amtsantritt hatte der Republikaner zahlreiche Dekrete unterschrieben – unter anderem zur Eindämmung irregulärer Migration. So hob die neue Regierung etwa eine Richtlinie auf, wodurch Migrant:innen nun auch an Orten wie Schulen oder Kirchen festgenommen werden können. Zudem hatte Trump erklärt, dass künftig in den USA nur noch zwei Geschlechter anerkannt werden. 

#usa #trump #kirche #nachrichten #tagesschau",1948,268708,"usa","trump","kirche","nachrichten","tagesschau","","","","","","","","tagesschau",2025-01-22 09:17:00,"Sidecar",4
"Die USA verlassen unter ihrem neuen Präsidenten Trump die Weltgesundheitsorganisation (WHO). „Die Weltgesundheitsorganisation hat uns abgezockt“, sagte Trump nur wenige Stunden nach seinem Amtsantritt bei der Unterzeichnung eines Dekrets zum WHO-Austritt. Karl Lauterbach wertet die Ankündigung als schweren Schlag für den internationalen Kampf gegen globale Gesundheitskrisen. 
 
#hartaberfair #lauterbach #trump #who #usa #tagesschau #nachrichten",1191,69462,"hartaberfair","lauterbach","trump","who","usa","tagesschau","nachrichten","","","","","","tagesschau",2025-01-21 13:58:20,"Video",3
"Seit Jahrzehnten steht in den Leitlinien zur Diagnose von Übergewicht vor allem eine Zahl im Vordergrund: der Body-Mass-Index - kurz BMI. Für die Berechnung des BMI wird das Körpergewicht in Kilogramm durch die Körpergröße in Meter zum Quadrat geteilt. 

Doch schon lange gibt es Kritik, dass der BMI allein kein gutes Maß für Übergewicht ist und vor allem keine Aussage über die Gesundheit eines Menschen zulasse. Eine internationale Kommission aus mehr als 50 Expert:innen will das nun ändern. Ihre Empfehlungen veröffentlichten sie in der renommierten Fachzeitschrift The Lancet Diabetes & Endocrinology. 

„Sich bei der Diagnose von Fettleibigkeit allein auf den BMI zu verlassen, ist problematisch, da manche Menschen dazu neigen, überschüssiges Fett an der Taille oder in und um ihre Organe wie die Leber, das Herz oder die Muskeln zu speichern"", erklärte Mitautor Robert Eckel von der University of Colorado in Aurora. 

Das bedeute ein höheres Gesundheitsrisiko als überschüssiges Fett direkt unter der Haut in Armen, Beinen oder in anderen Körperbereichen. Auch hätten Menschen mit überschüssigem Körperfett nicht immer einen BMI, der auf Fettleibigkeit hinweise, sodass ihre Gesundheitsprobleme unbemerkt bleiben könnten. 

#wissen #bmi #körperfett #gewicht #nachrichten #tagesschau",561,96719,"wissen","bmi","körperfett","gewicht","nachrichten","tagesschau","","","","","","","tagesschau",2025-01-21 12:00:25,"Sidecar",3
"Radikale israelische Siedler:innen haben nach Angaben von Bewohner:innen palästinensischer Dörfer im besetzten Westjordanland in zwei Dörfern randaliert und Feuer gelegt. Der Palästinensische Rote Halbmond teilte mit, er habe zwölf Menschen behandelt, die von Siedlern verprügelt worden seien. 

Bei den Ausschreitungen sind nach Medienberichten zwei Siedler:innen von israelischen Sicherheitskräften schwer verletzt worden. Die Sicherheitskräfte seien den Siedler:innen gefolgt und dabei von diesen mit Pfefferspray angegriffen worden. Sie hätten daraufhin auf die Siedler:innen geschossen und zwei von ihnen schwer verletzt. Die Polizei teilte mit, man habe interne Ermittlungen zu dem Vorfall aufgenommen. 

Seit dem 7. Oktober 2023 kommt es im Westjordanland vermehrt zu Ausschreitungen und Gewalt durch Siedler:innen. Das UN-Nothilfebüro berichtete von insgesamt 1.432 Angriffen israelischer Siedler:innen auf Palästinenser:innen. Die Siedler:innen in dem Gebiet haben die neue Trump-Regierung gefeiert, weil sie glauben, dass diese eine günstigere Haltung gegenüber illegalen Siedlungen einnehmen könnte. 

US-Präsident Donald Trump hat eine Verfügung der Biden-Regierung aufgehoben, die Sanktionen gegen extremistische israelische Siedler:innen im Westjordanland vorsieht. Ziel der Verordnung von Ex-Präsident Biden war es, gegen Siedler:innen vorzugehen, die beschuldigt wurden, Gewalt gegen Palästinenser:innen im Westjordanland anzuwenden. 

Die nächste Freilassung israelischer Geiseln im Gazastreifen im Austausch gegen palästinensische Häftlinge soll nach Angaben der Hamas am Samstag erfolgen. Gemäß dem mit Israel vereinbarten Abkommen sollen vier Entführte freikommen. 

Der israelische Generalstabschef Herzi Halevi ist zurückgetreten. Er begründete den Schritt mit dem Sicherheitsversagen, das den Terrorangriff der militant-islamistischen Hamas auf Israel am 7. Oktober 2023 ermöglicht habe. 

#israel #wetjordanland #tagesschau",1336,36614,"israel","wetjordanland","tagesschau","","","","","","","","","","tagesschau",2025-01-21 16:07:33,"Sidecar",3
"Ein FDP-Mitglied wirft der Partei vor, die Aufstellung der Kandidat:innen zur Bundestagswahl sei nicht geheim gewesen. Laut einem Medienbericht prüfen die Landeswahlleiter:innen in 14 Bundesländern nach der Beschwerde die Landeslisten der FDP. Die Partei weist die Vorwürfe zurück. 

Dem Bericht zufolge sind nur Niedersachsen und Berlin von der Beschwerde ausgenommen. Mehrere Landeswahlleiter:innen bestätigten dem Portal Table.Briefings den Eingang des Schreibens. Eine Sprecherin des nordrhein-westfälischen Innenministeriums erklärte gegenüber dem ARD-Hauptstadtstudio, dass die Landeswahlleiterin die FDP bereits angeschrieben und um Stellungnahme zu der Beschwerde gebeten habe. 

FDP-Generalsekretär Buschmann sprach von „Falschbehauptungen“: „Unser Justitiar hat sie geprüft und sagt, dass es nichts zu beanstanden gibt“, schrieb er auf X. „Dieser Wahlkampf ist schmutzig. Täuschung und Lüge sind überall.“ Ein Sprecher der Partei ergänzte, die betreffenden Landesverbände beantragten, „die Beschwerde zurückzuweisen“. 

#fdp #bundestagswahl #tagesschau",1568,83733,"fdp","bundestagswahl","tagesschau","","","","","","","","","","tagesschau",2025-01-21 21:00:18,"Sidecar",3
